latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.27636,80.13105,302.89,0.39,0.36,2023-04-28,2022,N,VIIRS,n,2,287.27,0.46,N,0
24.67407,76.90399,354.63,0.46,0.39,2023-04-23,750,N,VIIRS,n,2,322.41,15.72,D,0
17.89891,75.94617,350.04,0.4,0.37,2023-02-17,806,N,VIIRS,n,2,318.67,5.57,D,0
25.25781,84.20362,334.61,0.48,0.4,2023-12-26,716,N,VIIRS,n,2,295.14,7.75,D,0
30.15329,75.20124,334.92,0.49,0.49,2023-11-04,834,N,VIIRS,n,2,296.71,6.36,D,0
26.1123,93.27165,342.23,0.49,0.49,2023-05-08,628,N,VIIRS,n,2,301.06,5.51,D,0
22.13667,79.36324,334.74,0.34,0.56,2023-11-08,716,N,VIIRS,n,2,301.68,2.11,D,0
22.42685,77.44711,337.3,0.38,0.36,2023-10-26,800,N,VIIRS,l,2,311.24,4.56,D,0
23.77147,86.19988,313.74,0.38,0.36,2023-11-18,1956,N,VIIRS,n,2,294.25,2.34,N,2
23.86182,83.18537,352.1,0.39,0.36,2023-05-15,736,N,VIIRS,n,2,315.89,5.09,D,0
21.17331,86.05813,338.38,0.46,0.47,2023-02-07,754,N,VIIRS,l,2,310.12,91.71,D,0
25.30413,83.83099,354.68,0.46,0.64,2023-04-16,821,N,VIIRS,n,2,307.01,7.9,D,0
26.38662,81.14227,337.92,0.42,0.45,2023-04-22,809,N,VIIRS,l,2,308.94,3.0,D,0
23.28324,77.83752,343.37,0.58,0.52,2023-02-21,833,N,VIIRS,n,2,315.15,8.44,D,0
23.74157,86.42233,309.11,0.39,0.36,2023-04-03,1952,N,VIIRS,n,2,292.55,0.82,N,2
17.62068,75.29019,330.33,0.4,0.37,2023-01-26,819,N,VIIRS,n,2,300.16,1.15,D,0
21.30798,83.09528,327.69,0.52,0.41,2023-12-15,722,N,VIIRS,n,2,301.48,2.71,D,0
17.69199,77.0613,367.0,0.58,0.7,2023-01-24,856,N,VIIRS,h,2,296.78,9.36,D,0
27.36105,96.11752,345.67,0.59,0.53,2023-04-14,719,N,VIIRS,n,2,298.65,13.03,D,0
21.24464,79.22895,304.35,0.35,0.57,2023-03-13,1946,N,VIIRS,n,2,291.04,1.08,N,2
30.07016,75.79256,332.11,0.45,0.39,2023-10-20,815,N,VIIRS,n,2,302.12,2.65,D,0
21.42933,82.87345,345.68,0.4,0.37,2023-04-13,736,N,VIIRS,n,2,315.74,5.16,D,0
16.68291,75.24111,333.49,0.53,0.5,2023-01-30,844,N,VIIRS,n,2,304.25,3.65,D,0
19.75745,83.77962,308.13,0.47,0.39,2023-03-06,2018,N,VIIRS,n,2,290.67,0.74,N,0
18.63942,82.05993,341.84,0.44,0.39,2023-02-08,735,N,VIIRS,n,2,306.96,7.86,D,0
24.46278,78.34762,348.69,0.39,0.36,2023-04-12,756,N,VIIRS,n,2,320.69,6.37,D,0
30.18151,75.7682,332.85,0.4,0.37,2023-11-16,809,N,VIIRS,n,2,303.59,3.03,D,0
20.20874,77.18555,336.6,0.41,0.61,2023-04-03,724,N,VIIRS,l,2,309.55,4.82,D,0
20.30617,80.57836,307.04,0.55,0.43,2023-03-05,2036,N,VIIRS,n,2,293.93,2.69,N,0
21.73018,82.2645,350.86,0.38,0.36,2023-04-18,743,N,VIIRS,n,2,320.84,12.78,D,0
15.6732,77.47779,337.73,0.41,0.37,2023-01-27,759,N,VIIRS,l,2,311.79,3.3,D,0
23.56309,83.45457,335.95,0.56,0.43,2023-04-14,718,N,VIIRS,l,2,308.58,2.3,D,0
16.05568,78.7963,341.59,0.44,0.38,2023-03-10,812,N,VIIRS,n,2,311.21,3.79,D,0
24.25938,92.82788,342.09,0.41,0.37,2023-03-09,652,N,VIIRS,n,2,308.64,21.73,D,0
22.78857,86.20615,340.28,0.39,0.44,2023-03-22,749,N,VIIRS,n,2,303.99,6.31,D,2
21.45614,83.27525,309.06,0.43,0.38,2023-03-06,2017,N,VIIRS,n,2,294.95,1.84,N,0
23.55901,87.23964,339.38,0.44,0.38,2023-04-29,2004,N,VIIRS,n,2,294.79,11.71,N,2
17.08087,78.09597,314.01,0.46,0.47,2023-02-11,2050,N,VIIRS,n,2,275.59,0.86,N,0
23.7332,86.42271,308.67,0.41,0.37,2023-01-23,2004,N,VIIRS,n,2,291.32,0.84,N,2
23.6917,87.11259,304.58,0.43,0.38,2023-02-24,2004,N,VIIRS,n,2,291.59,1.55,N,2
19.05459,73.73055,301.01,0.45,0.39,2023-04-21,2056,N,VIIRS,n,2,289.96,0.42,N,0
22.4895,84.67823,332.63,0.61,0.54,2023-03-05,807,N,VIIRS,l,2,304.59,5.35,D,0
19.09125,80.19753,341.53,0.4,0.37,2023-04-17,801,N,VIIRS,l,2,314.02,7.11,D,0
23.47189,80.4514,347.25,0.53,0.42,2023-04-06,808,N,VIIRS,n,2,310.63,6.57,D,0
32.07717,75.29673,346.76,0.49,0.65,2023-05-11,855,N,VIIRS,n,2,312.74,5.62,D,0
22.35923,82.48168,337.04,0.44,0.63,2023-03-04,826,N,VIIRS,n,2,310.64,2.96,D,0
30.29596,76.48213,341.59,0.43,0.62,2023-05-11,714,N,VIIRS,n,2,311.64,4.43,D,0
30.9145,76.34999,334.56,0.47,0.47,2023-05-23,829,N,VIIRS,n,2,288.29,5.08,D,0
23.04419,83.49058,308.89,0.4,0.44,2023-05-16,1945,N,VIIRS,n,2,293.88,1.21,N,0
23.16776,79.7872,356.87,0.62,0.72,2023-11-14,844,N,VIIRS,n,2,300.64,12.56,D,0
21.88582,82.42866,330.69,0.46,0.39,2023-03-07,730,N,VIIRS,l,2,304.9,1.46,D,0
20.82708,83.03461,334.26,0.43,0.62,2023-02-26,658,N,VIIRS,l,2,305.89,3.89,D,0
14.16637,75.26904,334.8,0.41,0.37,2023-03-20,825,N,VIIRS,n,2,306.58,2.15,D,0
23.11942,84.443,306.98,0.4,0.37,2023-04-18,2011,N,VIIRS,n,2,293.56,1.81,N,0
25.88314,94.38335,332.18,0.63,0.72,2023-04-13,557,N,VIIRS,n,2,294.84,49.61,D,0
25.93594,92.64075,332.35,0.34,0.56,2023-04-13,737,N,VIIRS,n,2,300.73,2.08,D,0
22.33169,82.60504,308.14,0.38,0.36,2023-04-02,2011,N,VIIRS,n,2,294.23,1.2,N,2
30.15134,75.92255,335.58,0.38,0.36,2023-11-11,802,N,VIIRS,n,2,301.46,3.11,D,0
20.17038,80.14746,334.28,0.54,0.51,2023-04-19,724,N,VIIRS,l,2,307.65,2.07,D,0
29.97226,76.27657,344.93,0.47,0.39,2023-05-13,816,N,VIIRS,n,2,314.12,6.59,D,0
22.40246,79.82803,328.58,0.5,0.66,2023-11-14,704,N,VIIRS,l,2,302.23,4.28,D,0
17.51166,80.67211,335.31,0.38,0.36,2023-03-11,754,N,VIIRS,n,2,306.18,1.81,D,0
19.19436,78.78788,306.99,0.58,0.7,2023-03-03,2114,N,VIIRS,n,2,290.97,2.0,N,0
26.96187,81.68829,333.69,0.5,0.41,2023-01-29,725,N,VIIRS,n,2,295.11,3.47,D,0
13.30481,76.18939,330.36,0.72,0.76,2023-03-07,908,N,VIIRS,n,2,298.77,4.83,D,0
18.22527,76.90408,298.61,0.37,0.58,2023-03-30,2109,N,VIIRS,n,2,288.2,0.56,N,0
23.47772,82.58607,344.27,0.51,0.41,2023-04-19,724,N,VIIRS,n,2,315.53,7.54,D,0
21.38199,81.65476,301.71,0.42,0.37,2023-11-23,2004,N,VIIRS,n,2,290.86,1.17,N,2
24.16698,80.69537,305.03,0.5,0.49,2023-10-25,2047,N,VIIRS,n,2,290.42,1.36,N,2
22.45142,86.70131,342.06,0.43,0.38,2023-02-24,736,N,VIIRS,n,2,310.39,7.2,D,0
20.59621,83.88224,335.3,0.39,0.36,2023-04-18,742,N,VIIRS,l,2,310.07,3.16,D,0
25.66644,76.59736,349.07,0.46,0.39,2023-11-01,749,N,VIIRS,n,2,310.16,22.52,D,0
22.12335,81.66601,343.68,0.42,0.38,2023-05-30,755,N,VIIRS,l,2,315.0,11.39,D,0
29.69742,75.46217,334.49,0.54,0.42,2023-05-04,745,N,VIIRS,l,2,307.64,3.52,D,0
20.98693,85.12904,311.95,0.41,0.37,2023-11-29,1951,N,VIIRS,n,2,291.47,1.46,N,2
25.85108,93.94057,367.0,0.67,0.73,2023-04-13,557,N,VIIRS,h,2,298.45,28.7,D,0
29.94822,75.51794,333.65,0.4,0.37,2023-10-31,809,N,VIIRS,n,2,299.06,2.02,D,0
17.90096,80.42133,348.52,0.46,0.39,2023-03-01,741,N,VIIRS,n,2,312.71,5.09,D,0
25.37272,86.82829,338.29,0.46,0.39,2023-05-31,737,N,VIIRS,n,2,306.57,5.03,D,0
15.10973,75.98381,332.5,0.36,0.57,2023-12-21,848,N,VIIRS,n,2,299.32,2.15,D,0
23.76739,86.37121,312.62,0.36,0.57,2023-08-28,2035,N,VIIRS,n,2,290.08,1.91,N,2
29.85322,74.67014,333.86,0.37,0.58,2023-05-05,726,N,VIIRS,l,2,304.0,0.61,D,0
21.69202,72.66166,299.73,0.58,0.7,2023-02-03,1958,N,VIIRS,n,2,288.39,0.87,N,0
21.09885,84.98663,334.51,0.49,0.4,2023-12-19,747,N,VIIRS,n,2,300.6,3.61,D,0
24.98628,93.96239,302.84,0.56,0.43,2023-02-27,1907,N,VIIRS,n,2,283.58,0.98,N,0
23.22828,92.48067,334.29,0.68,0.74,2023-02-28,2028,N,VIIRS,n,2,289.14,2.79,N,0
20.194,82.29976,337.42,0.4,0.44,2023-02-14,723,N,VIIRS,l,2,307.87,4.12,D,0
30.61734,74.13047,345.98,0.43,0.46,2023-05-12,835,N,VIIRS,n,2,315.87,4.93,D,0
23.76054,86.40327,313.28,0.52,0.41,2023-02-04,1939,N,VIIRS,n,2,290.11,2.32,N,2
